2.339820890150044193e+02 4.172489612624772093e+01 5.149719281889986178e+00
2.339940946077770150e+02 4.172513942747946203e+01 4.953591306009059281e+00
2.340061002912409833e+02 4.172538147910247375e+01 4.758386968322440680e+00
2.340181060649306914e+02 4.172562228109674010e+01 4.564115186694323256e+00
2.340301119283805633e+02 4.172586183344230193e+01 4.370785139753706972e+00
2.340421178811250229e+02 4.172610013611932089e+01 4.178406278694239973e+00
2.340541239226984089e+02 4.172633718910806522e+01 3.986988339634535805e+00
2.340661300526350601e+02 4.172657299238890971e+01 3.796541356649868248e+00
2.340781362704692583e+02 4.172680754594233576e+01 3.607075675419821437e+00
2.340901425757353138e+02 4.172704084974888872e+01 3.418601967518952733e+00
2.341021489679674232e+02 4.172727290378927734e+01 3.231131245443407352e+00
2.341141554466998400e+02 4.172750370804426012e+01 3.044674878294870268e+00
2.341261620114667039e+02 4.172773326249473769e+01 2.859244608139704269e+00
2.341381686618021831e+02 4.172796156712169591e+01 2.674852567134564651e+00
2.341501753972404742e+02 4.172818862190622013e+01 2.491511295304633222e+00
2.341621822173156033e+02 4.172841442682950941e+01 2.309233759043820555e+00
2.341741891215616533e+02 4.172863898187286225e+01 2.128033370256503076e+00
2.341861961095126787e+02 4.172886228701767664e+01 1.947924006135053787e+00
2.341982031807027056e+02 4.172908434224545005e+01 1.768920029495802737e+00
2.342102103346657032e+02 4.172930514753782205e+01 1.591036309659443759e+00
2.342222175709356407e+02 4.172952470287646065e+01 1.414288243677958690e+00
2.342342248890464873e+02 4.172974300824319016e+01 1.238691777867529709e+00
2.342462322885320987e+02 4.172996006361995569e+01 1.064263429442405595e+00
2.342582397689263871e+02 4.173017586898873788e+01 8.910203080490646244e-01
2.342702473297631798e+02 4.173039042433168078e+01 7.189801369567589973e-01
2.342822549705763322e+02 4.173060372963102083e+01 5.481612736116403539e-01
2.342942626908996431e+02 4.173081578486906551e+01 3.785827290840302339e-01
2.343062704902668543e+02 4.173102659002825732e+01 2.102641860678318153e-01
2.343182783682117361e+02 4.173123614509113821e+01 4.322601477718990282e-02
2.343302863242680019e+02 4.173144445004034964e+01 -1.225107138923249295e-01
