y,x_0.00175
-0.1,7.559289460184544
-0.47534418022528163,16.481057182202182
-0.8506883604505632,22.047848750913975
-1.2260325406758448,26.468661153207954
-1.6013767209011265,30.250163833333215
-1.976720901126408,33.608850034532
-2.3520650813516895,36.66111276739732
-2.7274092615769714,39.478089847964824
-3.102753441802253,42.10702989696785
-3.4780976220275344,44.5812107893483
-3.8534418022528163,46.92511847768172
-4.228785982478098,49.15739143653401
-4.604130162703379,51.292606889734
-4.979474342928661,53.34242130092099
-5.354818523153943,55.316329405927775
-5.730162703379224,57.222187022563816
-6.105506883604506,59.06658172220086
-6.480851063829787,60.85510221046049
-6.856195244055068,62.592538323235885
-7.23153942428035,64.28303230593525
-7.606883604505632,65.93019513960257
-7.982227784730913,67.53719730523495
-8.357571964956197,69.1068405336722
-8.732916145181477,70.641615194208
-9.108260325406759,72.14374668636721
-9.48360450563204,73.61523330566087
-9.858948685857321,75.05787742367247
-10.234292866082603,76.4733113710084
-10.609637046307885,77.86301908317813
-10.984981226533165,79.22835432752294
-11.360325406758447,80.57055614892877
-11.735669586983729,81.89076203606757
-12.11101376720901,83.1900192063207
-12.486357947434293,84.46929432786902
-12.861702127659575,85.72948193561143
-13.237046307884857,86.97141174919773
-13.612390488110137,88.1958550633115
-13.987734668335419,89.40353035003042
-14.3630788485607,90.59510818884743
-14.738423028785983,91.77121562041734
-15.113767209011264,92.93244000428103
-15.489111389236546,94.07933244793702
-15.864455569461827,95.21241086407599
-16.23979974968711,96.33216270410301
-16.615143929912392,97.43904740887987
-16.99048811013767,98.53349861164017
-17.365832290362953,99.61592612303646
-17.741176470588233,100.6867177240892
-18.116520650813516,101.74624078928214
-18.491864831038797,102.79484375906576
-18.86720901126408,103.83285747850198
-19.24255319148936,104.8605964166286
-19.617897371714644,105.87835977928269
-19.993241551939924,106.88643252654373
-20.368585732165208,107.88508630460258
-20.743929912390488,108.87458030069143
-21.119274092615772,109.85516202869972
-21.494618272841052,110.82706805222283
-21.869962453066332,111.7905246510284
-22.245306633291612,112.74574843625966
-22.620650813516896,113.69294691911416
-22.995994993742176,114.63231903722733
-23.37133917396746,115.56405564254325
-23.74668335419274,116.48833995406147
-24.122027534418024,117.40534797850205
-24.497371714643304,118.31524890162433
-24.872715894868588,119.21820545266347
-25.248060075093868,120.11437424410802
-25.62340425531915,121.00390608882756
-25.99874843554443,121.88694629636909
